PEARLL Teacher Professional Development Survey Pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respondent ID,Collector ID,Start Date,End Date,IP Address,What language(s) do you teach? Please select all that apply.,,,,,,,,,,What is your native language? Please select all that apply.,,,,,,,,,,At what level(s) do you teach? Please select all that apply.,,,,,,,,,What state do you live in?,,"Do you hold a US state certification, license, or teaching credential to teach a world language?",How many years of independent classroom teaching experience do you have?,"Are you a program leader (curriculum coordinator/director, department head/chair, specialist, etc.)?","If you teach K-12 classes, which best describes the school in which you teach?","If you teach K-12 classes, which of the following best describes the school in which you teach?",What is the highest degree that you've earned?,In what discipline or subject area is your highest degree?,,,,,,,,,,,,,,,,In what country did you attend K-12 school/s?,In what country did you complete your highest degree?,"If you have received higher education from an institution outside of the US, are you qualified to teach in a K-12 setting in that country?",What is your cultural or ethnic background? Please select all that apply.,,,,,,,Which age group do you belong to?,What is your gender?,Please indicate the extent to which you are familiar with the TELL (Teacher Effectiveness for Language Learning) Framework.	
11068371456,246623118,10/15/2019 06:49:34 PM,10/15/2019 06:53:38 PM,96.230.248.216,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,,,High School (9-12),,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",4-7 years,Yes,Public School,Suburban,Master's degree,,,,,Education,,,Secondary education,,,,,,,,,United States,Combination of the United States and outside of the United States,Yes,,,,,,,Asian,20-29 years,Female,Not at all familiar
11068367246,246623118,10/15/2019 06:46:45 PM,10/15/2019 07:00:14 PM,76.218.110.176,,,,,,,,,,Hindi,,,,,,,,,,Hindi,,,Middle School (6-8),,,,,,,CA California,,I am in the process of becoming certified.,8-15 years,Yes,Public School,Suburban,Master's degree,,,,Economics,Education,,,,,,,,,,,LAW,Outside of the United States,United States,No,,,,,,,Asian Indian,30-39 years,Female,Very familiar
11068332428,246623118,10/15/2019 06:31:57 PM,10/15/2019 06:43:30 PM,204.229.220.1,Arabic,,,,,,,,,,Arabic,,,,,,,,,,,,,,College or University,,,,,AZ Arizona,,"It would be helpful for my career path, but I do not currently have plans to become certified.",4-7 years,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,Education,,,,,,,,,,,,Outside of the United States,United States,No,,,,,,White,,40-49 years,Male,Very familiar
11057871061,246624879,10/10/2019 09:51:19 PM,10/10/2019 10:19:31 PM,73.186.40.172,,French,,,,,,,Spanish,,,English,,,,,,,,,,,,,College or University,,,,,VT Vermont,,"No, and I do not need to become certified for my career path.",26 years or more,Yes,I do not currently teach in a K-12 school.,,Master's degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,United States,United States,,,,,,,White,,60-69 years,Female,Very familiar
11050362798,246624879,10/08/2019 09:29:20 AM,10/08/2019 09:44:33 AM,168.122.7.125,,French,,,,,,,,,,English,,,,,,,,,,,,,,,,I am a student and am not yet teaching.,,MA Massachusetts,,I am in the process of becoming certified.,I do not yet have independent classroom teaching experience.,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Bachelor's (4-year) degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,International Studies,United States,United States,Does not apply,,,,,,White,,20-29 years,Female,Somewhat familiar
11048074402,246624879,10/07/2019 01:13:14 PM,10/07/2019 01:33:42 PM,24.218.18.47,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,,,,,,,I am a student and am not yet teaching.,,MA Massachusetts,,"Not yet, but I plan to become certified.",1-3 years,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,Education,,,,,,,,,,,,Outside of the United States,United States,Yes,,,,,,,Asian,20-29 years,Female,Somewhat familiar
11046252537,246624879,10/06/2019 08:09:21 PM,10/06/2019 08:16:24 PM,24.147.132.144,,,,,,,,,Spanish,,,English,,,,,,,,,,,Middle School (6-8),,,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",1-3 years,No,Public School,Suburban,Bachelor's (4-year) degree,,,,,Education,,,,,,,Foreign language or literature (other than English),,,,,United States,United States,Does not apply,,,,,,White,,20-29 years,Female,Somewhat familiar
11043779882,246624879,10/04/2019 08:00:46 PM,10/04/2019 08:07:43 PM,71.232.215.202,,,,,,,Portuguese,,Spanish,,,,,,,,Portuguese,,,,,,,High School (9-12),,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",8-15 years,Yes,Public School,Suburban,Master's degree,,,,,,Educational leadership or administration,,,,,,,,,,,United States,United States,Does not apply,,,,,,White,,40-49 years,Female,Not at all familiar
11043671252,246624879,10/04/2019 06:41:48 PM,10/04/2019 06:46:27 PM,24.5.185.206,Arabic,,,,,,,,,Taught Arabic & got my degree in it but am currently teaching 5th grade english/history.,,English,,,,,,,,,,Elementary (K-5),,,,,,,,CA California,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",I do not yet have independent classroom teaching experience.,No,Private School,Suburban,Master's degree,,,,,Education,,,,,,,Foreign language or literature (other than English),,,,,United States,United States,Does not apply,,,,,,,Asian. ,20-29 years,Female,Very familiar
11043584119,246624879,10/04/2019 05:32:17 PM,10/04/2019 06:07:03 PM,47.14.169.10,,,,,Latin,,,,,,,English,,,,,,,,,,,,High School (9-12),,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",15-25 years,Yes,Public School,Suburban,Master's degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,United States,United States,Does not apply,,,,,,White,,40-49 years,Female,Somewhat familiar
11043507814,246624879,10/04/2019 05:07:16 PM,10/04/2019 05:08:14 PM,209.6.130.96,,French,,,,,,,,,,English,,,,,,,,,,,Middle School (6-8),,,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",15-25 years,No,Public School,Suburban,Master's degree,,,,,Education,,,,,,,,,,,,United States,United States,Does not apply,,,,,,White,,40-49 years,Female,Very familiar
11043491729,246624879,10/04/2019 04:58:27 PM,10/04/2019 05:15:12 PM,66.30.5.252,,,,,,,,,Spanish,,,English,,,,,,,,,,,,High School (9-12),,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",26 years or more,Yes,Public School,Urban,Master's degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,United States,Outside of the United States,Does not apply,,,,,,White,,50-59 years,Female,Very familiar
11043465207,246624879,10/04/2019 04:34:25 PM,10/04/2019 04:51:25 PM,66.30.48.7,,French,,,,,,,,,,,French,,,,,,,,,,Middle School (6-8),,,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",Less than one year,No,Public School,Urban,Master's degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,Outside of the United States,Outside of the United States,Yes,,,,,,White,,40-49 years,Female,Not at all familiar
11043438095,246624879,10/04/2019 04:32:28 PM,10/04/2019 04:51:20 PM,65.96.25.139,,,,,Latin,,,,,,,English,,,,,,,,,,Elementary (K-5),Middle School (6-8),,,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",4-7 years,No,Public School,Rural,Master's degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,United States,United States,Does not apply,,,,,,White,,20-29 years,Female,Somewhat familiar
11043418691,246624879,10/04/2019 04:16:50 PM,10/04/2019 04:24:37 PM,107.77.226.234,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,,,,,,,I am a student and am not yet teaching.,,MA Massachusetts,,I am in the process of becoming certified.,Less than one year,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Bachelor's (4-year) degree,,,,,Education,,,,,,TESOL or bilingual education,,,,,,Outside of the United States,Outside of the United States,Yes,,,,,,,Asian,20-29 years,Male,Somewhat familiar
11043412794,246624879,10/04/2019 04:18:53 PM,10/04/2019 04:41:33 PM,174.192.1.240,,French,,,,,,,,,,English,,,,,,,,,,,,High School (9-12),,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",26 years or more,No,Public School,Suburban,Doctoral degree,,,,,Education,,,,,,,,,,,,United States,United States,Does not apply,,,,,,White,,50-59 years,Female,Somewhat familiar
11037242500,246624879,10/02/2019 02:06:59 PM,10/02/2019 02:43:07 PM,173.244.1.195,,French,,,,,,,Spanish,,,English,,,,,,,,,,,,,College or University,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",26 years or more,Yes,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Doctoral degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,Combination of the United States and outside of the United States,United States,Does not apply,,,,,,White,,50-59 years,Female,Very familiar
11031459921,246624879,09/30/2019 02:40:20 PM,09/30/2019 02:50:28 PM,216.163.220.32,,,,,,,,,Spanish,,,English,,,,,,,,,,,,,,,,,I am the program leader and do not actively teach.,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",15-25 years,Yes,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,,,,,,,,,,,Second language acquisition,,United States,United States,Does not apply,,,,,,White,,50-59 years,Female,Very familiar
11020481679,246624879,09/25/2019 09:53:07 PM,09/25/2019 10:40:39 PM,73.119.5.71,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,,,High School (9-12),,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",8-15 years,No,Private School,Suburban,Master's degree,,,,,,,,,,,TESOL or bilingual education,,,,,,Outside of the United States,United States,Does not apply,,,,,,,Asian,30-39 years,Female,Very familiar
11020477275,246624879,09/25/2019 09:52:14 PM,09/26/2019 11:10:44 AM,71.10.233.184,,,,,,,,,Spanish,,,English,,,,,,,,,,,,High School (9-12),,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",26 years or more,Yes,Public School,Suburban,Master's degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,United States,Outside of the United States,No,,,,,,White,,60-69 years,Female,Somewhat familiar
11020070724,246624879,09/25/2019 06:08:42 PM,09/25/2019 06:31:41 PM,108.20.70.20,,,,,Latin,,,,Spanish,,,English,,,,,,,,,,,Middle School (6-8),High School (9-12),College or University,,,,I am the program leader and do not actively teach.,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",26 years or more,Yes,Public School,Rural,Doctoral degree,,,,,,Educational leadership or administration,,,,,,,,,,,Combination of the United States and outside of the United States,United States,Does not apply,,,,,,White,,60-69 years,Female,Very familiar
11019897999,246624879,09/25/2019 04:53:22 PM,09/25/2019 05:00:19 PM,146.115.126.10,,French,,,,,,,,,,English,,,,,,,,,,,,High School (9-12),,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",8-15 years,No,Public School,Suburban,Master's degree,,,,,Education,,,,,,,,,,,,United States,United States,Does not apply,,,,,,White,,30-39 years,Female,Very familiar
10933170399,243318611,2019-08-19 01:35:49,2019-08-19 11:40:21,108.31.173.26,,,,,,,,,Spanish,,,English,,,,,,,,,,,,,College or University,,,,,OH Ohio,,"No, and I do not need to become certified for my career path.",8-15 years,No,I do not currently teach in a K-12 school.,Rural,Master's degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,United States,United States,Does not apply,,,,,,White,,30-39 years,Female,Somewhat familiar
10932982058,243318611,2019-08-18 22:01:47,2019-08-18 22:18:09,68.134.212.72,,,,,,,,,Spanish,,,English,,,,,,,,,,,,High School (9-12),,,,,,MD Maryland,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",15-25 years,Yes,Public School,Suburban,Master's degree,,,Curriculum and instruction,,,,,,,,,,,,,,United States,United States,No,,,,,,White,,40-49 years,Female,Somewhat familiar
10932650008,243318611,2019-08-18 15:45:26,2019-08-18 16:08:34,108.28.201.114,,,,,,,,,,English,,English,,,,,,,,,,,,,,Adult (Continuing Education),,,,MD Maryland,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",1-3 years,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Bachelor's (4-year) degree,,,,,,,,,,,,,History,,,,United States,United States,Does not apply,,,,,,White,Japanese American,30-39 years,Prefer not to specify,Not at all familiar
10932155246,243318611,2019-08-18 02:53:35,2019-08-18 03:10:38,75.187.78.157,,,,,,,,,Spanish,,,English,,,,,,,,,,,,,College or University,,,,,OH Ohio,,"No, and I do not need to become certified for my career path.",8-15 years,No,I do not currently teach in a K-12 school.,Rural,Master's degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,United States,United States,Does not apply,,,,,,White,,30-39 years,Female,Somewhat familiar
10932150400,243318611,2019-08-18 02:44:23,2019-08-18 03:34:28,71.238.116.23,,,,,,,,,Spanish,,,,,,,,,,Spanish,,,,,High School (9-12),,,,,,OR Oregon,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",8-15 years,No,Public School,Urban,Master's degree,,,,,,,,Secondary education,,,,Foreign language or literature (other than English),,,,,United States,United States,Does not apply,,,Hispanic or Latino/a,,,White,,40-49 years,Female,Not at all familiar
10932130179,243318611,2019-08-18 02:09:55,2019-08-18 02:51:17,73.240.120.91,,,,,,,,,Spanish,,,English,,,,,,,,,,,,High School (9-12),,,,,,OR Oregon,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",15-25 years,Yes,Public School,Suburban,Master's degree,,,,,,,,,,,,Foreign language or literature (other than English),,,,,United States,United States,Does not apply,,,,,,White,,40-49 years,Female,Not at all familiar
10931552198,243318611,2019-08-17 14:12:58,2019-08-17 15:28:09,75.187.64.246,,,,,,,,,Spanish,,,English,,,,,,,,,,,,,College or University,,,,,OH Ohio,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",15-25 years,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,Education,,,,,,,Foreign language or literature (other than English),,,,,United States,Combination of the United States and outside of the United States,No,,Black or African American,,,,White,,40-49 years,Female,Somewhat familiar
10930668411,243318611,2019-08-16 20:31:16,2019-08-16 21:10:05,73.216.71.109,,French,,,,,,,Spanish,,,English,,,,,,,,,,,,High School (9-12),,,,,,VA Virginia,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",15-25 years,Yes,Public School,Suburban,Master's degree,Business,,,,,,,,,,,,,,,,United States,United States,Does not apply,,,,,,White,,50-59 years,Female,Somewhat familiar
10916840285,243318611,2019-08-09 18:24:43,2019-08-09 18:25:47,73.129.27.185,,,,,Latin,,Portuguese,,,,,,,,,,,,,,,,,,College or University,,I am currently retired and am no longer teaching.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10916838620,243318611,2019-08-09 18:23:52,2019-08-09 18:54:26,73.249.51.10,,French,,,,,,,Spanish,,,English,,,,,,,,,,,,,College or University,,,,,MA Massachusetts,,"Yes, I have a US state certification, license, or teaching credential to teach a world language.",8-15 years,Yes,I do not currently teach in a K-12 school.,Urban,Doctoral degree,,,,,Education,,,,,,,,,,,,United States,United States,Yes,,,,,,White,,40-49 years,Female,Very familiar
